Name,Website,Phone,WhatsApp,Address,Map,Description,Category,Images
اجياد,,0100-8455-166,,"1 ش المستشفى تقاطع ش العشرينى, حى السلام, الاسماعيلية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AC%D9%8A%D8%A7%D8%AF/292823?position=410&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,بيتزا,
احباب الحسين,,0106-4348-869,,"ش امير الجيوش, الجمالية, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D8%AD%D8%B3%D9%8A%D9%86/362564?position=411&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم مصرية,
احباب السيدة,,0111-1953-837,,"57 مساكن الدلتا -, مدينة السلام, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D8%B3%D9%8A%D8%AF%D8%A9/390551?position=412&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم,
احباب السيدة,,0114-6023-016,,"ش طه ابو النور متفرع من ش فيصل, فيصل, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D8%B3%D9%8A%D8%AF%D8%A9/321697?position=413&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم,
احباب النبى,,0111-1991-578,,"ش البوسطة القديمة, شبراخيت, البحيرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D9%86%D8%A8%D9%89/368602?position=414&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مخابز ومعجنات وحلوى محلات,
احسن ناس,,"0100-0551-160
0100-0707-544",,"92 ش محمد المقريفى, الحى السادس, مدينة نصر, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D8%B3%D9%86-%D9%86%D8%A7%D8%B3/665213?position=415&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,وجبات سريعة,
احفاد الخديوى,,"02-3586-3424
0109-2735-091",,"5 ش ايوب, الهرم, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%81%D8%A7%D8%AF-%D8%A7%D9%84%D8%AE%D8%AF%D9%8A%D9%88%D9%89/198564?position=416&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم مصرية,
احلى اكلة,,0112-9127-177,,"42 ش احمد حافظ متفرع من ش جمال عبد الناصر, سيدى بشر بحرى, الاسكندرية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%84%D9%89-%D8%A7%D9%83%D9%84%D8%A9/614601?position=417&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,بيتزا,
احلى الاوقات كوفى شوب,,0100-6485-612,,"67 ش الحرية, اوسيم, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%84%D9%89-%D8%A7%D9%84%D8%A7%D9%88%D9%82%D8%A7%D8%AA-%D9%83%D9%88%D9%81%D9%89-%D8%B4%D9%88%D8%A8/559953?position=418&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مقاهى,
احلى بداية,,02-2390-2231,,"25 ش الحلمية الجديدة, الحلمية الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%84%D9%89-%D8%A8%D8%AF%D8%A7%D9%8A%D8%A9/369674?position=419&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,بيتزا,
احلى حلو,,"0111-3663-359
0102-9801-050",,"214 عمارات الضباط - , الفردوس, السادس من اكتوبر, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%84%D9%89-%D8%AD%D9%84%D9%88/583811?position=420&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مخابز ومعجنات وحلوى محلات,
احلى ليالى,,0122-4316-854,,"ش مهران, البساتين, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%84%D9%89-%D9%84%D9%8A%D8%A7%D9%84%D9%89/371748?position=421&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,فطير,
احمد الشرقاوى,,0100-7451-438,,"17 ش طنطاوى جوهر, السيدة زينب, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D8%A7%D9%88%D9%89/409310?position=422&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم مصرية,
احمد الشرقاوى للمشويات,,"0106-4623-974
0115-6988-695
0120-6630-419",,"22 ش محمد نجيب - مدينة الاحرار, المرج, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D8%A7%D9%88%D9%89-%D9%84%D9%84%D9%85%D8%B4%D9%88%D9%8A%D8%A7%D8%AA/480670?position=423&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مشويات,
احمد الكبابجى,,0100-7933-266,,"67 طريق مصر اسيوط الزراعى, منيل شيحة, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D8%A7%D9%84%D9%83%D8%A8%D8%A7%D8%A8%D8%AC%D9%89/647909?position=424&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مشويات,
احمد امين,,050-2248-292,,"ش العباسى, المنصورة, الدقهلية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D8%A7%D9%85%D9%8A%D9%86/263398?position=425&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مخابز ومعجنات وحلوى محلات,
احمد انور,,0100-9594-937,,"بلوك 10 - مساكن الجمهورية -, مدينة السلام, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D8%A7%D9%86%D9%88%D8%B1/283919?position=426&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مخابز ومعجنات وحلوى محلات,
احمد حلمى,,"0122-8368-716
0120-7973-378",,"ش العروبة, امبابة, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D8%AD%D9%84%D9%85%D9%89/353271?position=427&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم شعبية,
احمد ريان,,0127-1272-221,,"الطريق الزراعى, المنزلة, الدقهلية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D8%B1%D9%8A%D8%A7%D9%86/358873?position=428&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مشويات,
احمد سعيد,,0122-7104-111,,"ش عبد الحى الطلخاوى, البيطاش, الاسكندرية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D8%B3%D8%B9%D9%8A%D8%AF/225947?position=429&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مخابز ومعجنات وحلوى محلات,
احمد كوفى شوب,,0100-0172-049,,"23 ش احمد عيسى, حدائق القبة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D9%83%D9%88%D9%81%D9%89-%D8%B4%D9%88%D8%A8/400086?position=430&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم,
احمد محمد حسين ابو شنب,,03-5420-865,,"18 ش مدحت سيف اليزيل, كليوباترا حمامات, الاسكندرية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D9%85%D8%AD%D9%85%D8%AF-%D8%AD%D8%B3%D9%8A%D9%86-%D8%A7%D8%A8%D9%88-%D8%B4%D9%86%D8%A8/35814?position=431&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مخابز ومعجنات وحلوى محلات,
احمد منصور,,"0128-3421-550
0100-6252-161",,"23 ش مسجد الحضرى, محرم بك, الاسكندرية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D9%85%D9%86%D8%B5%D9%88%D8%B1/24459?position=432&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم,
احمد وندا,,"0127-7979-674
0122-7574-712",,"امتداد ش بورسعيد - سنتريس, اشمون, المنوفية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D9%88%D9%86%D8%AF%D8%A7/323327?position=433&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مشويات,
احمودى,,0100-7706-001,,"86 ش المنيل, المنيل, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D9%88%D8%AF%D9%89/288650?position=434&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم,
اخر حاجة,,0111-5732-554,,"1 ش عبد الله سالم متفرع من ش احمد زكى, حدائق المعادى, المعادى, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AE%D8%B1-%D8%AD%D8%A7%D8%AC%D8%A9/219382?position=435&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم,
اخر حاجة,,"0122-9460-222
0100-2579-757",,"10 طريق المعتمدية, ارض اللواء, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AE%D8%B1-%D8%AD%D8%A7%D8%AC%D8%A9/269601?position=436&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم,
اخر ساعة,,0122-7945-959,,"ش طه عبد السلام, طره, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AE%D8%B1-%D8%B3%D8%A7%D8%B9%D8%A9/403669?position=437&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم,
اخر ساعة,,02-3312-7661,,"ش المطار, امبابة, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AE%D8%B1-%D8%B3%D8%A7%D8%B9%D8%A9/367176?position=438&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مخابز ومعجنات وحلوى محلات,
اخر ساعة,,0106-5397-171,,"ش النقراشى, ابو كبير, الشرقية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AE%D8%B1-%D8%B3%D8%A7%D8%B9%D8%A9/329742?position=439&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مشويات,
اخر ساعة اسبشيال,,"086-2332-211
0100-0209-717",,"ابراج الجامعة، ش طه حسين, وسط البلد, المنيا.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AE%D8%B1-%D8%B3%D8%A7%D8%B9%D8%A9-%D8%A7%D8%B3%D8%A8%D8%B4%D9%8A%D8%A7%D9%84/628637?position=440&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مخابز ومعجنات وحلوى محلات,
اخطبوط,,"0100-5566-672
0111-2966-639",,"108 عمارات صقر قريش - , مساكن شيراتون, مصر الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AE%D8%B7%D8%A8%D9%88%D8%B7/567154?position=441&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم,
اد اند رول,,0101-9195-124,,"2 ش بهجت على متفرع من ش اسماعيل محمد, الزمالك, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF-%D8%A7%D9%86%D8%AF-%D8%B1%D9%88%D9%84/515796?position=442&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,ايس كريم والبان,
اداجيو,,0122-7039-295,,"ميدان جهينة, السادس من اكتوبر, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D8%A7%D8%AC%D9%8A%D9%88/517761?position=443&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,ايس كريم والبان,
اداجيو بيتزاريا,http://www.merakiresort.com/restaurants/Pizzeria,065-3548-611,,"طريق الكورنيش, الدهار, الغردقة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D8%A7%D8%AC%D9%8A%D9%88-%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7%D8%B1%D9%8A%D8%A7/592652?position=444&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,بيتزا,
ادامز دونر اند جريل,,02-2258-4279,,"3 ش المماليك, مصر الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D8%A7%D9%85%D8%B2-%D8%AF%D9%88%D9%86%D8%B1-%D8%A7%D9%86%D8%AF-%D8%AC%D8%B1%D9%8A%D9%84/451930?position=445&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم عالمية,
ادامز كافيه,,0102-0338-030,,"53 عمارات الفاروقية - ش جسر السويس, النزهة الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D8%A7%D9%85%D8%B2-%D9%83%D8%A7%D9%81%D9%8A%D9%87/441690?position=446&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مقاهى,
ادامز لاونج,,"0121-2103-559
02-2266-3088",,"3 عمارات صقر قريش ش عبد الحميد بدوى, مساكن شيراتون, مصر الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D8%A7%D9%85%D8%B2-%D9%84%D8%A7%D9%88%D9%86%D8%AC/2672?position=447&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مقاهى,
ادرياتيكا كافيه,,"046-4938-696
0122-7228-890
046-4942-675",,"ش الجلاء, وسط البلد, مرسى مطروح.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D8%B1%D9%8A%D8%A7%D8%AA%D9%8A%D9%83%D8%A7-%D9%83%D8%A7%D9%81%D9%8A%D9%87/293438?position=448&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مقاهى,
ادريانو,,048-2321-030,,"ش جمال عبد الناصر, شبين الكوم, المنوفية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D8%B1%D9%8A%D8%A7%D9%86%D9%88/574600?position=449&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مقاهى,
ادريانو كافيه,,0112-7057-136,,"8 ج عمارات طيبة ش الزهراء الرئيسى, زهراء المعادى, المعادى, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D8%B1%D9%8A%D8%A7%D9%86%D9%88-%D9%83%D8%A7%D9%81%D9%8A%D9%87/455421?position=450&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مقاهى,
ادريس جروب,http://www.edrisgroup.net/,"095-2377-990
0122-7379-333
0100-3770-666",,"1 ش صلاح الدين, الاقصر, الاقصر.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D8%B1%D9%8A%D8%B3-%D8%AC%D8%B1%D9%88%D8%A8/124731?position=451&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم مصرية,
ادريكو,,0100-4030-970,,"3 ش العمدة, فيصل, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D8%B1%D9%8A%D9%83%D9%88/394613?position=452&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,وجبات سريعة,
ادم كافيه,,0101-4004-070,,"10 ش السلام, شبرا, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D9%85-%D9%83%D8%A7%D9%81%D9%8A%D9%87/467721?position=453&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مقاهى,
ادم كافيه,,"02-3761-8985
0115-5005-520
0112-0145-145",,"89 ش السودان, تقاطع ش جامعة الدول العربية, المهندسين, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D9%85-%D9%83%D8%A7%D9%81%D9%8A%D9%87/563778?position=454&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم امريكية,
ادم كريب,,0102-6666-126,,"13 ش عبد المحسن الوسيمى, جسر السويس, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D9%85-%D9%83%D8%B1%D9%8A%D8%A8/622975?position=455&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,كريب ووافل,
ادميرال دانس كلوب,,"0100-3408-900
0100-3408-903
0100-3408-901
0100-3408-904
0100-7390-964
0100-3408-909",,"كم 8 - , جنوب الغردقة, الغردقة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D9%85%D9%8A%D8%B1%D8%A7%D9%84-%D8%AF%D8%A7%D9%86%D8%B3-%D9%83%D9%84%D9%88%D8%A8/111834?position=456&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,اماكن ليلية,
ادهم بول بار,http://www.adhamcompoundegypt.com/,"03-4578-327
03-4578-160",,"كم 1.5 - طريق برج العرب, كينج مريوط, الاسكندرية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D9%87%D9%85-%D8%A8%D9%88%D9%84-%D8%A8%D8%A7%D8%B1/444921?position=457&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,وجبات سريعة,
ار اند جيه,,0114-6733-888,,"فيلا 6 - ش 263, المعادى الجديدة, المعادى, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1-%D8%A7%D9%86%D8%AF-%D8%AC%D9%8A%D9%87/467858?position=458&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مقاهى,
ار اند جيه كافيه,,0114-4466-635,,"كورنيش النيل, كورنيش المعادى, المعادى, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1-%D8%A7%D9%86%D8%AF-%D8%AC%D9%8A%D9%87-%D9%83%D8%A7%D9%81%D9%8A%D9%87/622271?position=459&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مقاهى,
ارابياتا,,16919,,"1 ش ذاكر حسين, الحى السابع, مدينة نصر, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1%D8%A7%D8%A8%D9%8A%D8%A7%D8%AA%D8%A7/173087?position=460&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,وجبات سريعة,
ارابياتا جريل,,"0120-6403-536
0120-1533-136",,", المنطقة السابعة, الشيخ زايد, الاسماعيلية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1%D8%A7%D8%A8%D9%8A%D8%A7%D8%AA%D8%A7-%D8%AC%D8%B1%D9%8A%D9%84/637943?position=461&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,وجبات سريعة,
ارابيان كافيه,https://arabian.cafe/,0112-1000-845,,"القطعة 1/1 المحور المركزى, ميدان الحصرى, السادس من اكتوبر, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1%D8%A7%D8%A8%D9%8A%D8%A7%D9%86-%D9%83%D8%A7%D9%81%D9%8A%D9%87/618233?position=462&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مقاهى,
ارابيان نايتس,http://www.sunrise-resorts.com/Home/HURGHADA/SUNRISE_Select_Holidays_Resort_Adults_Only,"065-3445-080
065-3445-084
065-3445-085",,"ش الشيراتون, سقالة, الغردقة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1%D8%A7%D8%A8%D9%8A%D8%A7%D9%86-%D9%86%D8%A7%D9%8A%D8%AA%D8%B3/105597?position=463&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم عالمية,
ارابيان نايتس,,"069-3710-131
069-3710-135
069-3710-134
069-3710-133
069-3710-140",,"الغرقانة, خليج نبق, شرم الشيخ.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1%D8%A7%D8%A8%D9%8A%D8%A7%D9%86-%D9%86%D8%A7%D9%8A%D8%AA%D8%B3/106398?position=464&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم شعبية,
ارابيان نايتس كافيه,,"03-5507-920
0100-0202-864
03-5507-920",,"659 طريق الجيش, ميامى, الاسكندرية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1%D8%A7%D8%A8%D9%8A%D8%A7%D9%86-%D9%86%D8%A7%D9%8A%D8%AA%D8%B3-%D9%83%D8%A7%D9%81%D9%8A%D9%87/290213?position=465&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مقاهى,
ارابيتا كافيه اند ريستوران,,"048-2332-333
0127-0400-060
0100-9897-070",,"25 ش عاطف السادات, شبين الكوم, المنوفية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1%D8%A7%D8%A8%D9%8A%D8%AA%D8%A7-%D9%83%D8%A7%D9%81%D9%8A%D9%87-%D8%A7%D9%86%D8%AF-%D8%B1%D9%8A%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86/546764?position=466&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مقاهى,
ارابيسك,http://www.arabesque-eg.com/,"02-2574-7898
0100-1073-367
02-2574-8677
02-2773-0025",,"6 ش قصر النيل, وسط البلد, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1%D8%A7%D8%A8%D9%8A%D8%B3%D9%83/67260?position=467&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم شعبية,
